,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,dakar,0,SN,1580508714,31,14.69,-17.44,78.8,14.99
1,hithadhoo,59,MV,1580508841,72,-0.6,73.08,81.63,10.92
2,port alfred,95,ZA,1580508841,90,-33.59,26.89,72.0,7
3,tamuin,92,MX,1580508841,67,21.98,-98.75,70.93,3.4
5,carnarvon,0,AU,1580508841,72,-24.87,113.63,66.2,13.87
6,shimoda,100,JP,1580508841,52,34.67,138.95,37.0,14.63
7,leningradskiy,96,RU,1580508842,97,69.38,178.42,-20.2,5.77
8,nogent-le-rotrou,100,FR,1580508842,93,48.33,1,54.0,13.87
9,albany,90,AU,1580508793,87,-35.02,117.89,55.4,6.93
10,mount isa,75,AU,1580508842,94,-20.73,139.5,78.8,10.29
11,arraial do cabo,75,BR,1580508842,88,-22.97,-42.03,82.4,6.93
12,georgetown,40,SH,1580508842,77,-7.93,-14.42,79.63,16.02
13,pisco,11,PE,1580508843,30,-13.7,-76.22,73.0,27.51
14,tshikapa,68,CD,1580508843,93,-6.42,20.8,70.3,2.66
15,cambrils,0,ES,1580508843,100,41.07,1.05,59.0,3.36
17,ushuaia,40,AR,1580508614,51,-54.8,-68.3,59.0,16.11
18,butaritari,100,KI,1580508843,76,3.07,172.79,84.83,15.79
19,olafsvik,99,IS,1580508843,78,64.89,-23.71,30.15,22.53
20,atuona,0,PF,1580508843,71,-9.8,-139.03,81.14,17.78
21,fortuna,20,US,1580508795,82,40.6,-124.16,62.01,10.29
22,kaitangata,100,NZ,1580508844,79,-46.28,169.85,54.0,11.86
23,san quintin,0,MX,1580508844,36,30.48,-115.95,67.6,6.04
24,jamestown,100,SH,1580508791,77,-15.94,-5.72,74.89,11.77
25,aasiaat,100,GL,1580508844,97,68.71,-52.87,0.61,4.25
27,tiksi,100,RU,1580508844,96,71.69,128.87,-13.34,3.33
28,hofn,0,IS,1580508844,62,64.25,-15.21,36.52,14.79
29,yarada,39,IN,1580508845,76,17.65,83.27,77.38,5.97
30,vaini,40,TO,1580508797,79,-21.2,-175.2,84.2,6.93
31,saint-philippe,67,RE,1580508845,83,-21.36,55.77,78.8,4.7
32,punta arenas,100,CL,1580508781,54,-53.15,-70.92,57.2,25.28
33,rivadavia,40,AR,1580508845,16,-33.19,-68.46,95.0,9.17
34,krasnyy chikoy,42,RU,1580508845,97,50.36,108.75,-18.24,1.14
35,rikitea,68,PF,1580508845,78,-23.12,-134.97,79.41,14.94
36,thompson,90,CA,1580508795,100,55.74,-97.86,24.8,6.93
37,bredasdorp,100,ZA,1580508846,77,-34.53,20.04,68.0,3.36
38,hermanus,100,ZA,1580508792,91,-34.42,19.23,66.0,1.99
39,zamora,90,ES,1580508846,87,41.5,-5.75,54.0,8.05
40,salvador,40,BR,1580508690,78,-12.97,-38.51,82.4,10.29
41,narsaq,0,GL,1580508846,45,60.92,-46.05,1.4,4.7
42,barrow,1,US,1580508789,75,71.29,-156.79,-18.4,3.36
43,ahipara,1,NZ,1580508847,87,-35.17,173.17,70.09,13.58
44,cherskiy,80,RU,1580508847,99,68.75,161.3,-28.93,2.44
45,khatanga,55,RU,1580508847,97,71.97,102.5,-31.59,6.93
46,faanui,100,PF,1580508847,88,-16.48,-151.75,78.37,32.41
47,kavieng,100,PG,1580508847,75,-2.57,150.8,83.95,11.16
49,antsohihy,95,MG,1580508847,94,-14.88,47.99,74.71,3.06
50,upernavik,100,GL,1580508792,96,72.79,-56.15,-7.6,8.21
52,ponta do sol,0,CV,1580508798,34,17.2,-25.09,78.8,16.11
53,belawan,40,ID,1580508869,94,3.78,98.68,77.0,2.24
54,kapaa,1,US,1580508869,73,22.08,-159.32,78.8,5.82
55,puerto ayora,20,EC,1580508790,62,-0.74,-90.35,86.0,19.46
56,nikolskoye,90,RU,1580508930,85,59.7,30.79,24.01,4.47
57,kruisfontein,88,ZA,1580508930,86,-34,24.73,67.93,11.21
58,dingle,46,IE,1580508930,74,52.14,-10.27,49.86,30.91
59,lavrentiya,100,RU,1580508930,98,65.58,-171,-9.18,4.54
60,yellowknife,75,CA,1580508885,83,62.46,-114.35,-4.0,6.93
61,bethel,90,US,1580508930,69,41.37,-73.41,41.0,5.82
62,sioux lookout,90,CA,1580508931,85,50.1,-91.92,23.0,12.75
63,idlib,20,SY,1580508835,39,35.93,36.63,46.4,13.87
64,gouyave,20,GD,1580508931,74,12.16,-61.73,84.2,16.11
65,gao,0,ML,1580508931,12,16.64,1.64,74.43,9.42
66,namie,40,JP,1580508931,74,37.48,141,41.0,9.17
67,bako,99,ET,1580508931,77,5.78,36.57,66.99,3.96
68,ribeira grande,75,PT,1580508931,88,38.52,-28.7,64.4,16.11
69,chute-aux-outardes,1,CA,1580508931,79,49.12,-68.4,19.4,11.41
70,korla,0,CN,1580508793,57,41.76,86.15,13.44,2.8
71,chifeng,0,CN,1580508932,56,42.27,118.96,13.66,12.5
72,pinega,54,RU,1580508932,98,64.7,43.39,-19.71,5.79
73,busselton,0,AU,1580508932,58,-33.65,115.33,48.99,8.01
74,saldanha,100,ZA,1580508932,82,-33.01,17.94,62.6,13.87
75,amahai,100,ID,1580508932,76,-3.33,128.92,83.07,15.32
76,avarua,100,CK,1580508789,74,-21.21,-159.78,84.2,8.05
77,katsuura,20,JP,1580508933,38,35.13,140.3,42.8,12.75
78,san benito,75,US,1580508933,63,26.13,-97.63,66.2,11.41
79,mehamn,75,NO,1580508933,78,71.04,27.85,14.0,6.93
80,mar del plata,0,AR,1580508933,27,-38,-57.56,87.8,19.46
81,qaanaaq,89,GL,1580508789,100,77.48,-69.36,-25.42,0.54
82,slave lake,20,CA,1580508933,41,55.28,-114.77,41.0,18.34
83,iqaluit,90,CA,1580508933,63,63.75,-68.51,-11.0,2.24
84,port elizabeth,90,ZA,1580508934,83,-33.92,25.57,71.6,14.99
85,chiredzi,92,ZW,1580508934,63,-21.05,31.67,72.79,3.98
86,kysyl-syr,98,RU,1580508934,98,63.9,122.76,-10.75,4.27
87,luderitz,3,NA,1580508934,91,-26.65,15.16,63.54,24.23
89,klyuchi,0,RU,1580508934,86,52.27,79.17,-5.64,7.72
91,hobart,100,AU,1580508708,76,-42.88,147.33,77.0,5.53
92,makakilo city,1,US,1580508898,69,21.35,-158.09,80.6,6.93
93,albanel,20,CA,1580508935,77,48.88,-72.45,5.0,2.75
95,longyearbyen,40,SJ,1580508935,85,78.22,15.64,21.2,13.87
96,praya,40,ID,1580508935,94,-8.71,116.27,77.0,4.7
98,verkhnyaya inta,100,RU,1580508935,74,65.98,60.31,-2.11,20.8
99,vicuna,40,CL,1580508936,72,-30.03,-70.71,78.01,11.41
100,hilo,90,US,1580508790,78,19.73,-155.09,75.99,8.05
102,bambous virieux,40,MU,1580508957,83,-20.34,57.76,78.8,5.82
104,new norfolk,100,AU,1580508957,67,-42.78,147.06,77.0,4
105,samarinda,100,ID,1580508957,98,-0.5,117.15,72.57,1.9
107,college,90,US,1580508926,75,64.86,-147.8,-14.01,0.36
108,huarmey,49,PE,1580508958,56,-10.07,-78.15,80.47,7.94
109,husavik,90,IS,1580508979,86,66.04,-17.34,33.8,9.17
110,kuybysheve,74,UA,1580508979,81,47.36,36.65,33.44,12.12
111,camacha,20,PT,1580508979,55,33.08,-16.33,62.6,2.24
112,litovko,23,RU,1580509039,98,49.24,135.17,-8.36,0.38
113,port blair,59,IN,1580509040,77,11.67,92.75,78.89,12.21
114,turbat,0,PK,1580509040,25,26,63.04,61.68,4.99
115,la ronge,20,CA,1580509040,51,55.1,-105.28,37.4,20.8
116,caceres,99,BR,1580509061,76,-16.07,-57.68,85.59,1.23
117,kaeo,0,NZ,1580509061,59,-35.1,173.78,80.01,1.01
118,castro,40,CL,1580508797,64,-42.47,-73.77,68.0,14.99
120,baykit,88,RU,1580509062,97,61.67,96.37,-24.03,1.43
121,marsh harbour,41,BS,1580509062,67,26.54,-77.06,73.85,10.71
122,monrovia,20,LR,1580508858,94,6.3,-10.8,77.0,7.16
123,kutum,33,SD,1580509062,23,14.2,24.67,48.97,4
124,ancud,40,CL,1580509062,64,-41.87,-73.82,68.0,14.99
125,tuktoyaktuk,75,CA,1580509063,74,69.45,-133.04,-25.6,9.17
126,saint-leu,97,RE,1580509063,83,-21.15,55.28,78.8,4.7
127,bonthe,45,SL,1580509063,86,7.53,-12.51,78.26,7.65
128,kahului,75,US,1580509063,83,20.89,-156.47,84.2,6.93
129,saskylakh,99,RU,1580509063,97,71.92,114.08,-15.97,10.51
130,chingirlau,100,KZ,1580509063,92,51.09,54.08,18.45,6.8
131,kalanguy,88,RU,1580509063,98,51.02,116.52,-14.39,2.84
132,banjar,40,ID,1580509063,88,-8.19,114.97,80.6,1.12
133,dubbo,40,AU,1580509016,33,-32.25,148.62,91.4,23.04
134,mayo,20,CA,1580509064,77,63.59,-135.9,1.4,3.36
135,chara,100,RU,1580509064,81,56.91,118.26,-4.86,5.88
137,klaksvik,100,FO,1580509064,86,62.23,-6.59,33.8,4.7
138,weligama,4,LK,1580509064,92,5.97,80.42,69.06,7.56
140,geraldton,90,CA,1580509064,79,49.73,-86.95,26.6,11.41
141,katobu,100,ID,1580509065,92,-4.94,122.53,76.24,3.27
142,petropavlovsk-kamchatskiy,95,RU,1580509065,59,53.05,158.65,3.2,6.71
143,karratha,12,AU,1580509065,57,-20.74,116.85,82.89,20.54
144,kattivakkam,40,IN,1580509065,83,13.22,80.32,77.0,10.65
145,parabel,100,RU,1580509065,97,58.7,81.48,-5.22,5.44
146,torbay,90,CA,1580509065,85,47.67,-52.73,24.01,11.41
147,tecoanapa,18,MX,1580509065,44,16.52,-98.75,87.26,9.28
149,kenai,90,US,1580508862,92,60.55,-151.26,15.01,9.01
150,talnakh,20,RU,1580509066,74,69.49,88.4,-25.6,8.95
152,santa cruz,20,CR,1580509066,38,10.26,-85.59,93.2,18.34
153,mahibadhoo,100,MV,1580509066,73,3.78,72.97,81.01,11.14
154,ossora,0,RU,1580509066,60,59.24,163.07,-5.96,5.53
155,sao joao da barra,100,BR,1580509066,70,-21.64,-41.05,84.2,11.41
156,east london,8,ZA,1580509067,66,-33.02,27.91,75.49,20.13
157,vyyezdnoye,99,RU,1580509067,97,55.38,43.79,29.08,5.82
160,shihezi,96,CN,1580509067,99,44.3,86.03,2.66,0.74
161,rome,90,US,1580509067,65,34.26,-85.16,46.99,5.82
164,dunedin,100,NZ,1580508796,65,-45.87,170.5,61.0,14
165,xining,100,CN,1580509068,96,36.62,101.77,18.21,1.81
166,kodiak,1,US,1580509068,61,57.79,-152.41,17.6,25.28
167,shelburne,90,CA,1580508790,92,44.08,-80.2,30.99,4.18
168,esperance,75,AU,1580509068,81,-33.87,121.9,51.8,5.82
170,mahebourg,40,MU,1580509068,83,-20.41,57.7,78.8,5.82
171,makhachkala,75,RU,1580509090,75,42.98,47.5,41.0,17.9
172,adrar,4,DZ,1580509150,14,25.75,-1,62.71,8.77
173,manzanillo,75,MX,1580509150,62,19.05,-104.32,84.2,5.82
174,krasnystaw,75,PL,1580509150,93,50.98,23.17,44.6,13.87
175,naze,40,JP,1580509150,62,28.37,129.48,59.0,12.75
176,hualmay,41,PE,1580509150,60,-11.1,-77.61,78.91,9.6
